Crash ID,$1000 Damage to Any One Person's Property,Agency,Case ID,City,Contributing Factors,County,Crash Date,Crash Severity,Fatal Crash Flag,Intersecting Street Number,Nearest Trauma Center,Nearest Trauma Center Distance,Region,Contributing Factor 1,Contributing Factor 2,Contributing Factor 3,Driver Zip Code,Lessee/Owner Zip Code,Vehicle Hit and Run Flag,VIN,Person Age,Person Gender,Person Injury Severity,Person Non-Suspected Serious Injury Count,Person Number,Physical Location of An Occupant
20744089,Yes,BEAUMONT POLICE DEPARTMENT,2025006504,BEAUMONT,BACKED WITHOUT SAFETY,JEFFERSON,2025-04-07,N - NOT INJURED,0,NO DATA,No Data,No Data,,3 - BACKED WITHOUT SAFETY,No Data,No Data,77701,77701,No,1G11B5SL6EF246406,41,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744092,Yes,BEAUMONT POLICE DEPARTMENT,2025006492,BEAUMONT,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE;OTHER (EXPLAIN IN NARRATIVE),JEFFERSON,2025-04-07,N - NOT INJURED,0,NO DATA,58 - CHRISTUS SOUTHEAST TEXAS - ST. ELIZABETH,2.125,,34 - FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,No Data,No Data,77706,77706,No,4T1BF1FK8DU225234,23,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744092,Yes,BEAUMONT POLICE DEPARTMENT,2025006492,BEAUMONT,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE;OTHER (EXPLAIN IN NARRATIVE),JEFFERSON,2025-04-07,N - NOT INJURED,0,NO DATA,58 - CHRISTUS SOUTHEAST TEXAS - ST. ELIZABETH,2.125,,98 - OTHER (EXPLAIN IN NARRATIVE),No Data,No Data,77656,77657,No,1FD8X3E67BEA32703,30,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744093,No,TYLER POLICE DEPARTMENT,25-005030,TYLER,CHANGED LANE WHEN UNSAFE,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,288 - UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,2.168,,4 - CHANGED LANE WHEN UNSAFE,No Data,No Data,,No Data,Yes,No Data,No Data,99 - UNKNOWN,99 - UNKNOWN,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744093,No,TYLER POLICE DEPARTMENT,25-005030,TYLER,CHANGED LANE WHEN UNSAFE,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,288 - UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,2.168,,No Data,No Data,No Data,75708,75708,No,1GC4YME73NF112836,27,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744095,Yes,TYLER POLICE DEPARTMENT,25-005022,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,0.458,,22 - FAILED TO CONTROL SPEED,No Data,No Data,75792,75792,No,1C3CDFAA5GD750612,26,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744095,Yes,TYLER POLICE DEPARTMENT,25-005022,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,0.458,,22 - FAILED TO CONTROL SPEED,No Data,No Data,75792,75792,No,1C3CDFAA5GD750612,23,2 - FEMALE,N - NOT INJURED,0,2,3 - FRONT RIGHT
20744095,Yes,TYLER POLICE DEPARTMENT,25-005022,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,0.458,,22 - FAILED TO CONTROL SPEED,No Data,No Data,75792,75792,No,1C3CDFAA5GD750612,1,2 - FEMALE,N - NOT INJURED,0,3,5 - SECOND SEAT CENTER
20744095,Yes,TYLER POLICE DEPARTMENT,25-005022,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,0.458,,No Data,No Data,No Data,75706,75701,No,1FDXE4FN7SDD23589,31,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744095,Yes,TYLER POLICE DEPARTMENT,25-005022,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,0.458,,No Data,No Data,No Data,75706,75701,No,1FDXE4FN7SDD23589,36,2 - FEMALE,N - NOT INJURED,0,2,3 - FRONT RIGHT
20744095,Yes,TYLER POLICE DEPARTMENT,25-005022,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,0.458,,No Data,No Data,No Data,75706,75701,No,1FDXE4FN7SDD23589,21,1 - MALE,N - NOT INJURED,0,3,4 - SECOND SEAT LEFT OR MOTORCYCLE BACK PASSENGER
20744096,Yes,BEAUMONT POLICE DEPARTMENT,2025006467,BEAUMONT,FAILED TO CONTROL SPEED;OTHER (EXPLAIN IN NARRATIVE),JEFFERSON,2025-04-07,B - SUSPECTED MINOR INJURY,0,NO DATA,58 - CHRISTUS SOUTHEAST TEXAS - ST. ELIZABETH,3.698,,22 - FAILED TO CONTROL SPEED,No Data,No Data,77662,77707,No,1FTWW31Y59EA16631,18,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
